NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
SIR POLUTVRDI TILZIT 150g DUKAT,90573853,PRESIDENT,0.15 kg,ko,3.99,26.6,,,3.99,3850355007141,HRANA
SIR POLUTVRDI GOUDA 150g DUKAT,90573855,PRESIDENT,0.15 kg,ko,3.99,26.6,,,3.99,3850355007080,HRANA
RIŽA DUGO ZRNO 500G 4X125g BEN'S,90577700,BEN’S ORIGINAL,0.50 kg,ko,4.39,8.78,,,4.39,5410673007490,HRANA
FELIX MM GOVEDINA 85g,90582726,FELIX,0.09 kg,ko,0.99,11.65,,,0.99,7613287489593,PROIZVODI ZA KUĆANSTVO
FELIX MM PILETINA 85g,90582728,FELIX,0.09 kg,ko,0.99,11.65,,,0.99,7613287489975,PROIZVODI ZA KUĆANSTVO
FELIX MM JUNIOR PILETINA 85g,90582732,FELIX,0.09 kg,ko,0.99,11.65,,,0.99,7613287490117,PROIZVODI ZA KUĆANSTVO
ČOKOLADA DORINA SJECKANI LJEŠNJAK 220g,90587727,DORINA,0.22 kg,ko,5.59,25.41,,,5.59,3850102522323,HRANA
BURGER BEYOND 226g,90592978,BEYOND MEAT,0.23 kg,ko,7.29,32.22,,,7.29,1230000068116,HRANA
PIZZA CAPRICCIOSA 330g MINUTE,90593057,MINUTE,0.33 kg,ko,2.79,8.45,,,2.79,3850334132659,HRANA
TOAST K PLUS AMERICAN INTEGRAL 750g,90593371,K PLUS,0.75 kg,ko,2.69,3.59,,,2.69,3850334519801,HRANA
