"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"KREMA ZA ÈIŠÆENJE LIMUN 750ml";"016929301";"DEXAL";"0,75";"LT";"1,29";"1,72";"0";"0";"0";"1,29";"8017596071903";"SREDSTVA ZA ÈIŠÆENJE"
"KREMŠNITA XXL S&G 600g";"910189901";"NO BRAND";"0,6";"KG";"4,99";"8,32";"0";"0";"0";"4,99";"3830056444902";"HRANA"
"KROK.ZA MAÈKE PREMIUM 2 VRSTE 800g";"013360001";"RADAMES";"0,8";"KG";"2,79";"3,49";"0";"0";"0";"2,99";"8017596059147";"PROIZVODI ZA KUÆANSTVO"
"KROK.ZA MAÈKE PREMIUM 2 VRSTE 800g";"013360001";"RADAMES";"0,8";"KG";"2,79";"3,49";"0";"0";"0";"2,99";"8017596016768";"PROIZVODI ZA KUÆANSTVO"
"KROK.ZA MAÈKE PREMIUM 2 VRSTE 800g";"013360001";"RADAMES";"0,8";"KG";"2,79";"3,49";"0";"0";"0";"2,99";"8017596102713";"PROIZVODI ZA KUÆANSTVO"
"KROK.ZA MLADE PSE PREM.2-12mj.1,5kg";"014890301";"RADAMES";"1,5";"KG";"3,49";"2,33";"0";"0";"0";"3,19";"8017596102041";"PROIZVODI ZA KUÆANSTVO"
"KROKETI OD KRUMPIRA ZA PEÆNICU 600g";"015060501";"DELIZIE DAL SOLE";"0,6";"KG";"2,09";"3,48";"0";"0";"0";"2,09";"8017596042293";"HRANA"
"KROKETI PREMIUM STERIL.MAÈ.800g";"012678901";"RADAMES";"0,8";"KG";"2,79";"3,49";"0";"0";"0";"2,99";"8011789891712";"PROIZVODI ZA KUÆANSTVO"
"KROKETI PREMIUM STERIL.MAÈ.800g";"012678901";"RADAMES";"0,8";"KG";"2,79";"3,49";"0";"0";"0";"2,99";"8017596077851";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA MACKE P.A.PASTRVA 800g";"018371001";"RADAMES";"0,8";"KG";"3,39";"4,24";"0";"0";"0";"3,39";"8017596136725";"PROIZVODI ZA KUÆANSTVO"
