NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Gouda komad,0004984,0.4,400g,Pilos,3.95,,,9.88,5900120065871,Hrana,"3,95"
Argeta Riblja pašteta SK1,0005139,0.095,95g,,1.99,,,20.95,3838471042291,Hrana,"1,99"
"Argeta Kokošja pašteta SK2, 95g",0005140,0.095,95g,,1.49,,,15.68,3838471051712,Hrana,"1,39"
"Argeta Kokošja pašteta SK2, 95g",0005140,0.095,95g,,1.49,,,15.68,3838975567016,Hrana,"1,39"
"Dimljena peèenica, cca. 400g",0005216,1,ca. 400g,Pikok,6.79,,,6.79,2852160000000,Hrana,"6,79"
Pivac Chardonnay,0005351,1.985,2l,,2.89,,,1.45,5319991722033,Piæe,"2,89"
"BO Pecivo žemlja SUS, 75g",0005369,0.075,75g,,0.21,,,2.8,3859890771173,Hrana,"0,21"
"Svježi pileæi želuci, 500g",0005594,0.5,500g,,1.59,,,3.18,4334035669854,Hrana,"1,49"
Svježi pileæi filet,0005607,1,ca. 500g,Naša mesnica,7.39,,,7.39,2852024000000,Hrana,"7,39"
Svježi pileæi filet,0005607,1,ca. 500g,Naša mesnica,7.39,,,7.39,2852029000000,Hrana,"7,39"
Spužva za posuðe,0005619,0.06,10komad,W5,0.99,,,0.1,20209889,Proizvodi za kuæanstvo,"0,99"
Axe gel za tuširanje sort.,0005639,0.257,250ml,,2.49,,,9.96,40883588,Kozmetika,"2,99"
Axe gel za tuširanje sort.,0005639,0.257,250ml,,2.49,,,9.96,8710447276631,Kozmetika,"2,99"
"Èokoladne bananice, 5x17g",0005681,0.085,5x17g,Mister Choc,0.89,,,10.47,20389413,Hrana,0.89
Soda bikarbona,0005698,0.05,50g,Belbake,0.15,,,3,20295264,Hrana,"0,15"
Skuša fileti u umaku rajèica,0005719,0.17,170g,Nixe,1.69,,,9.94,20096410,Hrana,"1,59"
Dolcela Gussnel,0005733,0.25,250g,,1.99,,,7.96,3850104278556,Hrana,"1,99"
