NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Imako Vranac 2l,0006571,1.99,2l,,2.65,,,1.33,5319990776013,Piæe,"2,65"
"Domaæe masl. s košt. SK1, OM: 200g",0006628,0.2,370ml,Okusi zavièaja,2.49,,,12.45,20428846,Hrana,"3,29"
"Palenta-kukuruzna krupica, 500g",0006649,0.5,500g,Okusi zavièaja,0.89,,,1.78,20492267,Hrana,"0,89"
"Svježi pileæi zabatak, cca. 500g",0006675,1,ca. 500g,Naša mesnica,4.09,,,4.09,2891979000000,Hrana,"4,09"
Lovorov list cijeli,0006688,0.005,5g,Kania,0.25,,,0.25,4056489787396,Hrana,"0,25"
Gillette Pjena za brijanje sort.,0006712,0.196,200ml,,2.89,,,14.45,3014260228668,Kozmetika,"2,89"
"Pileæi mix za juhu, cca. 500g",0006735,1,ca. 500g,Naša mesnica,2.99,,,2.99,2891124000000,Hrana,"2,69"
Air Wick Fresh Matic Refill SK2,0008404,0.17,250ml,,6.69,,,26.76,5999109543578,Sredstva za èišæenje,"6,69"
Studenac Gazirana mineralna voda ,0008473,6,"4x1,5l",,2.59,,,0.43,3856022302595,Piæe,"2,29"
Nivea Sun Protect & Bronze ZF 20,0008722,0.2,200ml,,12.99,,,64.95,4005808432394,Kozmetika,"12,99"
Nivea Sun Protect & Bronze ZF 20,0008722,0.2,200ml,,12.99,,,64.95,7319470012127,Kozmetika,"12,99"
"Mješavina èajnih peciva, RFA",0008919,1,1000g,Sondey,8.99,,,8.99,20320041,Hrana,"8,99"
"Cabernet Sauvignon, kval. crno vino",0008926,0.743,"0,75l",Winemakers of Croatia,5.49,,,7.32,4304493259751,Piæe,"5,49"
Malvazija Ist. kvalite. bijelo vino,0008928,0.75,"0,75l",Winemakers of Croatia,6.49,,,8.65,4304493256507,Piæe,"6,49"
"Štark Smoki flips, 130g",0008931,0.13,130g,,1.29,,,9.92,8600939507087,Hrana,"1,29"
"Pošip, vrhunsko bijelo vino ",0009006,0.744,"0,75l",Winemakers of Croatia,5.99,,,7.99,4304493256729,Piæe,"5,99"
"Svinjski file, cca. 400g",0009053,1,ca. 400g,Naša mesnica,8.89,,,8.89,2874970000000,Hrana,"8,89"
"Svinjski file, cca. 400g",0009053,1,ca. 400g,Naša mesnica,8.89,,,8.89,2890530000000,Hrana,"8,89"
"Barilla Fusilli, 500g",0009185,0.5,500g,Barilla,1.95,,,3.9,8076802085981,Hrana,"1,19"
Coca Cola Zero 5+1 gratis,0009263,1.98,"6x0,33l",Coca-Cola,5.19,,,2.62,5000112623475,Piæe,"5,25"
"Ožujsko Svijetlo pivo 5%, 1l-PET",0009325,1,1l,,2.09,,,2.09,3850131400807,Piæe,"2,09"
Kozmetièke maramice 3-slojne aloe v,0009374,0.17,90komad,Cien,1.29,,,0.01,20173852,Toaletne potrepštine,"1,29"
Spužvasta krpa,0009379,0.141,5komad,W5,1.25,,,0.25,20056520,Proizvodi za kuæanstvo,"1,25"
"Petit keks, 1000g",0009403,1,1000g,Sondey,2.49,,,2.49,3871354001411,Hrana,"2,59"
Vrhnje u spreju,0009818,0.255,250ml,Pilos,2.29,,,9.16,20139407,Hrana,"2,29"
Gel za kosu za muškarce SK13,0009855,0.15,"150ml,200ml",Cien,1.79,,,8.95,20336752,Kozmetika,"1,79"
Gel za kosu za muškarce SK13,0009855,0.15,"150ml,200ml",Cien,1.79,,,11.93,20551643,Kozmetika,"1,79"
Bjelilo za kavu,0009856,0.2,200g,Bellarom,1.25,,,6.25,20058548,Hrana,"1,25"
"Èoko vafli lješnjak, UTZ, RFA",0009859,0.04,40g,Sondey,0.39,,,0.39,20083298,Hrana,"0,39"
"Toaletni papir, 4-slojni",0009891,1.23,1600Blatt,Floralys,4.39,,,0.44,20007379,Toaletne potrepštine,"4,39"
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Alpenfest,12.69,,,12.69,2228885000000,Hrana,"12,69"
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Alpenfest,12.69,,,12.69,2228888000000,Hrana,"12,69"
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Alpenfest,12.69,,,12.69,2810231000000,Hrana,"12,69"
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Alpenfest,12.69,,,12.69,2810233000000,Hrana,"12,69"
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Alpenfest,12.69,,,12.69,2868940000000,Hrana,"12,69"
Hot-Dog hrenovke (ATG300g),0010238,0.55,550g,MCENNEDY,2.99,,,9.97,20149710,Hrana,"3,19"
Kobasica za peèenje,0010501,0.5,500g,Dulano Selection,3.69,,,7.38,20299729,Hrana,"3,49"
Majoneza 80%,0011319,0.466,500ml,Kania,2.29,,,4.58,20051389,Hrana,"2,29"
Maslinovo ulje ekstra djev.,0011366,0.912,1l,Primadonna,8.49,,,8.49,4056489141877,Hrana,"8,99"
Ulje Maslina Komine,0011369,0.913,1l,Primadonna,4.99,,,4.99,20032043,Hrana,"5,99"
Mini-pašteta SK44,0011547,0.13,130g,Alpenfest,1.49,,,11.46,20140427,Hrana,"1,49"
Mini-pašteta SK44,0011547,0.13,130g,Alpenfest,1.49,,,11.46,20140472,Hrana,"1,49"
Pire krumpir instant,0011673,0.33,330g,Harvest Basket,1.89,,,5.73,20163822,Hrana,"1,99"
Kobasica SK13,0011790,0.2,200g,Dulano,2.39,,,11.95,20012571,Hrana,"2,15"
Kobasica SK13,0011790,0.2,200g,Dulano,2.39,,,11.95,20097271,Hrana,"2,15"
Narezana salama SK35,0011808,0.125,125g,Dulano,2.29,,,18.32,20030179,Hrana,"2,19"
Mediteranski pršut SK24,0011818,0.1,100g,Dulano Selection,2.59,,,25.9,20087487,Hrana,"2,59"
Pileæa i pureæa prsa QS SK18,0011880,0.2,200g,Dulano,3.39,,,16.95,4056489115243,Hrana,"2,99"
Kuhana šunka tanko narezana XXL SK4,0011882,0.4,400g,Dulano,4.29,,,10.73,4056489115311,Hrana,"4,29"
Salsa umak SK18,0011890,0.315,315g,Snack Day,1.59,,,5.05,20108618,Hrana,"1,59"
Krumpir salata SK2,0011924,1,1kg,Alpenfest,2.89,,,2.89,4056489129851,Hrana,"2,89"
Krumpir salata SK2,0011924,1,1kg,Alpenfest,2.89,,,2.89,4056489129875,Hrana,"2,89"
Krumpir salata SK2,0011924,1,1kg,Alpenfest,2.89,,,2.89,4056489531593,Hrana,"2,89"
Smrznuto povræe za tavu SK21,0012083,0.75,750g,Freshona,3.29,,,4.39,4056489447818,Hrana,"2,99"
Jogurt 5% SK 4,0012211,1,1kg,Pilos,2.99,,,2.99,4056489110132,Hrana,Nije_bilo_u_prodaji_02.05.2025
Grèki Tzatziki,0012212,0.5,500g,Eridanous,1.79,,,3.58,4056489130444,Hrana,"1,69"
"MSC Morski plodovi SK2, ATG: 270g",0012609,0.3,300g,Ocean Sea,2.69,,,9.96,20102203,Hrana,"3,49"
Mortadela Bologna IGP,0012678,0.15,150g,Dulano Selection,2.35,,,15.67,20180430,Hrana,"2,35"
Lovorov list ,0012891,0.008,"7,5g",Kania,0.29,,,0.29,4056489407416,Hrana,Nije_bilo_u_prodaji_02.05.2025
Indijski orašèiæi,0012971,0.2,200g,Alesto Selection,2.65,,,13.25,20267605,Hrana,"2,89"
Punjena marcipan jaja SK4,0013024,0.1,100g,Favorina,1.55,,,15.5,20069315,Hrana,"0,66"
Punjena marcipan jaja SK4,0013024,0.1,100g,Favorina,1.55,,,15.5,20131715,Hrana,"0,66"
Punjena marcipan jaja SK4,0013024,0.1,100g,Favorina,1.55,,,15.5,20131722,Hrana,"0,66"
"Mješavina keksa SK1, UTZ",0018682,0.45,500g,Sondey,3.49,,,6.98,20058623,Hrana,"3,49"
Müsli ploèica SK66,0019902,0.2,200g,Crownfield,1.79,,,8.95,4056489204046,Hrana,"1,56"
Gazirano piæe od grejpa,0021155,1.5,"1,5l",Freeway,0.95,,,0.63,4304493268944,Piæe,"0,99"
Minis Caramel,0021249,0.35,350g,Mister Choc,3.69,,,10.54,4056489232391,Hrana,"3,59"
Baguette pecivo SK15,0021282,0.3,300g,Tastino,0.99,,,3.3,4056489124177,Hrana,"0,99"
Sredstvo za èišæenje poda SK17,0021341,1.075,1l,W5,1.49,,,1.49,20072384,Sredstva za èišæenje,"1,85"
Saldoled štapiæ jagoda-crisp,0021902,0.504,6x120ml,Gelatelli,5.99,,,8.32,20134129,Hrana,"5,49"
Pita s porilukom i sirom,0021997,0.68,680g,Eridanous,2.49,,,3.66,20129637,Hrana,"2,49"
Original tal. ocat Balsamico ,0022471,0.55,"0,5l",Acentino,1.99,,,3.98,4056489272779,Hrana,"1,99"
Meki bijeli sir,0022613,0.35,350g,Duc de Coeur,4.19,,,11.97,3228022160138,Hrana,"3,19"
Meki kravlji sir u salamuri,0022725,1,1kg,Milbona,10.79,,,10.79,20069971,Hrana,"9,99"
Meki kravlji sir u salamuri,0022725,1,1kg,Milbona,10.79,,,10.79,4056489203193,Hrana,"9,99"
Hrskavi kruh SK5,0022865,0.25,250g,Tastino,1.29,,,5.16,20006167,Hrana,"1,29"
Hrskavi kruh SK5,0022865,0.25,250g,Tastino,1.29,,,5.16,4056489189121,Hrana,"1,29"
Pripravak od vinskog octa SK1,0024610,0.3,250ml,Deluxe,3.19,,,12.76,4056489323310,Hrana,"3,74"
Corte alle Mura Chianti Riserva,0024692,0.75,"0,75l",,4.99,,,6.65,8002793024463,Piæe,"4,99"
Gotovo jelo SK33,0024750,0.4,400g,Culinea,3.99,,,9.98,4335619201163,Hrana,"4,28"
Gotovo jelo SK33,0024750,0.4,400g,Culinea,3.99,,,9.98,4335619201170,Hrana,"4,28"
Djeèji sprej za sunèanje ZF 50+,0024982,0.151,150ml,Cien Sun,5.95,,,39.67,4056489182313,Kozmetika,"5,95"
Uljni sprej za sunèanje ZF 6,0024984,0.226,250ml,Cien Sun,5.49,,,21.96,20546540,Kozmetika,"5,49"
Pizza Arrabbiata,0025790,0.4,400g,Italiamo,2.99,,,7.48,20490690,Hrana,"2,99"
Meki sir s plavom plijesni,0025914,0.25,250g,Duc de Coeur,3.39,,,13.56,4056489203254,Hrana,"3,39"
Amaretti keksi,0026238,0.2,200g,Italiamo,1.69,,,8.45,20034184,Hrana,"1,69"
Savijaèa od jabuke,0026475,0.6,600g,Confiserie Firenze,2.99,,,4.98,20096915,Hrana,"2,99"
Èetkice za zube Classic Care SK5,0027020,0.051,4komad,Dentalux,0.89,,,0.22,20063153,Kozmetika,"0,89"
"Trajno mlijeko bez lakt. 1,5% m.m.",0027036,1.033,1l,Milbona,1.39,,,1.39,4056489628897,Hrana,"1,39"
Èokolada s cijelim bademima,0027512,0.2,200g,Fin Carré,3.29,,,16.45,20005795,Hrana,"3,29"
Mini Mix Sladoled na štapiæu SK6,0027551,0.456,12x50ml,Gelatelli,6.49,,,10.82,4056489375135,Hrana,"6,39"
Bordeaux AOP Superieur,0027697,0.75,"0,75l",-,4.49,,,5.99,4056489790723,Piæe,"3,99"
Smrznuti jastog,0028372,0.375,375g,Deluxe,12.99,,,34.64,737191157502,Hrana,"12,99"
Šumske borovnice,0028408,0.51,580ml,Freshona,2.49,,,4.29,20004040,Hrana,"2,49"
Kukuruz u zrnu (OM 285g),0028424,0.34,425ml,Freshona,1.19,,,4.18,20135546,Hrana,"1,09"
Chil. Malbec Reserva Privada ,0028529,0.75,"0,75l",-,2.65,,,3.53,4056489522539,Piæe,"3,99"
Sfogliatine,0028555,0.2,200g,Italiamo,1.19,,,5.95,20216702,Hrana,"1,19"
Gel za brijanje ,0028839,0.2,200ml,Cien MEN,2.09,,,10.45,20871598,Kozmetika,"2,09"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.02,20084943,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.04,20084950,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.04,4042441018431,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.02,4042441018448,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.02,4042441018455,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.02,40895352,Toaletne potrepštine,"0,89"
Flaster SK7,0028901,0.023,"20komad,40komad",Sensiplast,0.89,,,0.04,40895376,Toaletne potrepštine,"0,89"
Tortilja rolice SK1,0029069,0.125,125g,Snack Day,1.39,,,11.12,20211318,Hrana,"1,39"
"Lampion, 150g",0029456,0.146,1komad,-,0.99,,,0.99,20192464,Proizvodi za kuæanstvo,Nije_bilo_u_prodaji_02.05.2025
Mješ. orašastih plodova/ voæa SK4,0029819,0.2,200g,Alesto Selection,2.49,,,12.45,20005726,Hrana,"1,99"
Svježi sir 0% m.m.,0029830,0.5,500g,Pilos,1.85,,,3.7,20001933,Hrana,"1,85"
Desertni specijaliteti SK19,0030937,0.155,"2x75g,2x80g",MCENNEDY,1.69,,,9.39,20809584,Hrana,"1,69"
Desertni specijaliteti SK19,0030937,0.155,"2x75g,2x80g",MCENNEDY,1.69,,,9.94,4056489102656,Hrana,"1,69"
Pjenasta kupka SK16,0031129,1.03,1l,Cien,2.25,,,2.25,4335619136724,Kozmetika,"2,25"
Salat Mix,0031297,0.175,175g,Alesto,1.89,,,10.8,20168414,Hrana,"2,39"
Extra džem od višnje,0031562,0.45,450g,Maribel,2.99,,,6.64,20000783,Hrana,"2,59"
Ekstra džem od malina,0031594,0.45,450g,Maribel,2.99,,,6.64,20000691,Hrana,"2,99"
"Svijetlo pivo 4,9%",0032276,0.503,"0,5l",Perlenbacher,0.99,,,1.98,4304493261433,Piæe,"0,99"
Snack kobasica Tirolska SK8,0032325,0.15,150g,Alpenfest,1.99,,,13.27,20421366,Hrana,"1,99"
Snack kobasica Tirolska SK8,0032325,0.15,150g,Alpenfest,1.99,,,13.27,20421373,Hrana,"1,99"
Snack kobasica Tirolska SK8,0032325,0.15,150g,Alpenfest,1.99,,,13.27,20421397,Hrana,"1,99"
"Leæa, OM 260g ",0032913,0.4,425ml,Freshona,0.64,,,2.46,20243418,Hrana,0.64
Südafrika Pinotage (EUA),0034515,0.75,"0,75l",Cimarosa,3.39,,,4.52,20245009,Piæe,"3,99"
Èile Merlot (EUA),0034519,0.75,"0,75l",Cimarosa,2.33,,,3.11,4304493261563,Piæe,"3,49"
"Tortilla èips SK1, SK5, SK6",0034632,0.15,150g,Snack Day,1.19,,,7.93,20236939,Hrana,"1,19"
"Tortilla èips SK1, SK5, SK6",0034632,0.15,150g,Snack Day,1.19,,,7.93,20260798,Hrana,"1,19"
"Tortilla èips SK1, SK5, SK6",0034632,0.15,150g,Snack Day,1.19,,,7.93,4056489452355,Hrana,"1,19"
Mlijeko za sunèanje ZF 20,0034646,0.257,250ml,Cien Sun,4.49,,,17.96,4056489368823,Kozmetika,"4,49"
Èips rebrasti s okusom sira i luka,0036645,0.15,150g,Snack Day,1.15,,,7.67,40894881,Hrana,"1,15"
"Premium Müsli, SK 1",0036658,0.75,750g,Crownfield,4.99,,,6.65,4335619231016,Hrana,"4,99"
Viura/Airen Valdepenas DO,0036724,0.75,"0,75l",Vega del Cega,1.99,,,2.65,4335619001428,Piæe,"2,49"
Èips s okusom sira i luka,0038408,0.15,150g,Snack Day,1.15,,,7.67,4056489317944,Hrana,"1,15"
Èips SK30,0038411,0.175,175g,Snack Day,2.49,,,14.23,4056489248415,Hrana,"1,59"
"Prutiæi za maèke SK4, 50g",0038491,0.05,50g,Coshida,1.39,,,27.8,20166847,Proizvodi za kuæanstvo,"1,39"
Božiæne figure od èokolad. SK7,0038527,0.1,100g,Favorina,1.89,,,18.9,4056489704362,Hrana,"1,59"
"Kroketi od krumpira, punjeni SK4",0038685,0.6,600g,Alpenfest,2.99,,,4.98,20216269,Hrana,"2,49"
Pasta za zube SK4,0038752,0.155,125ml,Dentalux,1.05,,,8.4,20060220,Kozmetika,"1,05"
Pasta za zube SK4,0038752,0.155,125ml,Dentalux,1.05,,,8.4,4056489498070,Kozmetika,"1,05"
"Tamponi, razne vrste 56-80 kom. SK8",0038769,0.178,"56komad,64komad,80komad",Siempre,3.69,,,0.07,4056489849025,Toaletne potrepštine,"3,69"
"Tamponi, razne vrste 56-80 kom. SK8",0038769,0.178,"56komad,64komad,80komad",Siempre,3.69,,,0.06,4056489849025,Toaletne potrepštine,"3,69"
Hrana za pse SK13,0038821,0.3,300g,Orlando,0.79,,,2.63,4056489571087,Proizvodi za kuæanstvo,0.79
Hrana za pse SK13,0038821,0.3,300g,Orlando,0.79,,,2.63,4056489583462,Proizvodi za kuæanstvo,0.79
Vrhnje za kavu 12%,0039193,0.2,200g,Pilos,0.89,,,4.45,20045760,Hrana,"0,89"
Mješavina keksa SK3,0039284,0.45,"400g,500g",Sondey,3.49,,,8.73,20005429,Hrana,Nije_bilo_u_prodaji_02.05.2025
Mješavina keksa SK3,0039284,0.45,"400g,500g",Sondey,3.49,,,6.98,4335619207103,Hrana,Nije_bilo_u_prodaji_02.05.2025
Suha hrana za maèke 2 kg SK17,0039750,2,2kg,Coshida,3.45,,,1.73,20858254,Proizvodi za kuæanstvo,"3,45"
Suha hrana za maèke 2 kg SK17,0039750,2,2kg,Coshida,3.45,,,1.73,4056489714781,Proizvodi za kuæanstvo,"3,45"
Asia umaci SK6,0040086,0.281,250ml,Vitasia,1.19,,,4.76,20196097,Hrana,"1,49"
Kornet èokolada-vanilija (76g),0044153,0.077,120ml,Gelatelli,0.69,,,5.75,20332914,Hrana,"0,69"
Kuhana šunka,0047079,0.125,125g,Dulano Selection,2.29,,,18.32,20268251,Hrana,"2,29"
Pirovo brašno tip 630,0048262,1,1kg,Belbake,1.29,,,1.29,20272364,Hrana,"1,29"
Prosecco Treviso DOC frizzante,0048641,0.75,"0,75l",Allini,5.29,,,7.05,4056489927600,Piæe,"4,99"
Šumeæe tablete vitamin C,0051515,0.08,80g,Optisana,1.15,,,14.38,20289096,Hrana,"1,15"
Pizza Margherita XXL,0052368,1.2,4x300g,Trattoria Alfredo,5.19,,,4.33,4056489889922,Hrana,"5,55"
Pileæi medaljoni Safari,0052500,0.4,400g,Culinea,4.99,,,12.48,20813727,Hrana,"4,64"
"Èajno pecivo SK2, UTZ",0055526,0.3,300g,Sondey,2.75,,,9.17,20302979,Hrana,"2,75"
Ragolds Punjeni bomboni SK5,0055579,0.034,"33,6g",,0.59,,,0.59,4014600114056,Hrana,"0,59"
Lješnjaci ili bademi u èoko. SK3 ,0057768,0.125,125g,Favorina,2.59,,,20.72,20309954,Hrana,"2,79"
Lješnjaci ili bademi u èoko. SK3 ,0057768,0.125,125g,Favorina,2.59,,,20.72,20309978,Hrana,"2,79"
Secco Bianco,0058528,0.2,"0,2l",Allini,1.19,,,5.95,4335619259652,Piæe,"0,99"
Extra hrskavi èips SK8,0059344,0.125,125g,Snack Day,1.39,,,11.12,20551841,Hrana,"1,39"
Extra hrskavi èips SK8,0059344,0.125,125g,Snack Day,1.39,,,11.12,20551858,Hrana,"1,39"
Mini èokolade SK2,0059926,0.04,40g,Fin Carré,0.89,,,0.89,20548858,Hrana,"0,89"
Higijenski sprej za ruke i površine,0060140,0.224,250ml,W5,1.85,,,7.4,4056489331087,Sredstva za èišæenje,"1,85"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,19.75,20550103,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,19.75,4056489644286,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,19.75,4056489644293,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,19.75,4056489723639,Hrana,"0,79"
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Eridanous,0.79,,,22.57,4056489723646,Hrana,"0,79"
Maramice za èišæenje naoèala,0060424,0.089,54komad,W5,0.99,,,0.02,20554712,Proizvodi za kuæanstvo,"0,99"
Kolaè od dizanog tijesta SK2,0060487,0.45,450g,Alpenfest,2.99,,,6.64,20669447,Hrana,"2,79"
"Festbier 5,5%",0060604,0.5,"0,5l",Perlenbacher,0.89,,,1.78,4304493268197,Piæe,"0,79"
Dezodorans SK21,0062781,0.117,200ml,Cien,1.29,,,6.45,20549183,Kozmetika,"1,29"
Dezodorans SK21,0062781,0.117,200ml,Cien,1.29,,,6.45,4056489235941,Kozmetika,"1,29"
Dezodorans SK21,0062781,0.117,200ml,Cien,1.29,,,6.45,4056489547150,Kozmetika,"1,29"
Dezodorans muški SK15,0062785,0.123,200ml,Cien MEN,1.29,,,6.45,4056489321842,Kozmetika,"1,29"
Sredstvo za èišæenje kupaonice SK10,0062791,0.761,750ml,W5,1.85,,,2.47,20916107,Sredstva za èišæenje,"1,85"
Picco Pizzi šunka/salama SK1,0063013,0.36,360g,Trattoria Alfredo,3.99,,,11.08,4056489442943,Hrana,"3,99"
Talijanska dimljena šunka rezana,0063343,0.1,100g,Deluxe,3.49,,,34.9,20327996,Hrana,"2,79"
Aluminijska posuda za roštiljanje,0065249,0.172,10komad,Grillmeister,2.79,,,0.28,20341701,Proizvodi za kuæanstvo,"3,49"
"Svijetlo pivo 4,9% XXL",0065665,4.025,"8x0,5l",Perlenbacher,6.93,,,1.73,4056489298892,Piæe,"6,93"
Krema za ruke SK6,0065854,0.109,"125ml,75ml",Cien,1.19,,,15.87,20334338,Kozmetika,"1,19"
Krema za ruke SK6,0065854,0.109,"125ml,75ml",Cien,1.19,,,9.52,20334345,Kozmetika,"1,19"
Krema za ruke SK6,0065854,0.109,"125ml,75ml",Cien,1.19,,,15.87,4056489234081,Kozmetika,"1,19"
Odstr. laka za nokte bez acet. SK8,0065975,0.173,200ml,Cien,1.99,,,9.95,20336790,Kozmetika,"1,99"
Dnevni gel za umiv. i piling SK13,0067420,0.154,200ml,Cien,1.85,,,9.25,4335619171930,Kozmetika,"1,39"
Dnevni gel za umiv. i piling SK13,0067420,0.154,200ml,Cien,1.85,,,9.25,4335619171947,Kozmetika,"1,39"
Rošilj kobasice SK7,0067627,0.25,250g,Grillmeister,2.59,,,10.36,20103620,Hrana,"2,59"
"Jastuèiæi punj. noug., vanil. SK44 ",0067777,0.375,375g,Crownfield,1.99,,,5.31,20353926,Hrana,"1,99"
Kalifornijske pistacije ,0067958,0.25,250g,Alesto,4.49,,,17.96,4335619185050,Hrana,"4,39"
Snack od krumpira SK1,0068326,0.175,175g,MCENNEDY,1.69,,,9.66,20335045,Hrana,"1,69"
Sir za burgere,0069698,0.3,300g,McEnnedy,2.79,,,9.3,20362065,Hrana,"2,99"
Beauty kompaktni puder SK4,0069825,0.005,"4,5g",Cien,2.25,,,2.25,20908874,Kozmetika,"2,25"
Sjenilo za oèi SK3 ,0069833,0.003,1komad,Cien,1.85,,,1.85,20030889,Kozmetika,"1,85"
Kuhinjske role 2-slojne,0070660,1.159,8x64Blatt,Floralys,4.69,,,0.59,20376819,Toaletne potrepštine,"4,69"
"Tekuæi jogurt Proviact 1,0%",0070696,0.33,330g,Pilos,0.79,,,2.39,20376789,Hrana,"0,95"
Ledena kava XXL SK1,0070916,0.399,380ml,Milbona,1.29,,,3.39,4304493261839,Hrana,"1,09"
Složenac od krumpira i brokule,0072138,0.4,400g,Deluxe,3.29,,,8.23,20382407,Hrana,"3,29"
Kalifornijske pistacije XXL,0072752,0.3,300g,Alesto Selection,4.09,,,13.63,4335619014466,Hrana,"4,39"
Dimljeni losos XXL,0073887,0.22,220g,Nautica,5.69,,,25.86,4056489147046,Hrana,"6,69"
Sirni namaz,0074722,0.3,300g,Milbona,2.45,,,8.17,4056489143833,Hrana,"2,25"
Kroasan s krem punjenjem SK3,0074867,0.24,5x48g,Maitre Jean-Pierre,2.19,,,9.13,20694234,Hrana,"1,99"
Njega lica za muškarce SK6 ,0076409,0.051,50ml,Cien,2.39,,,47.8,4056489323082,Kozmetika,"2,59"
Njega lica za muškarce SK6 ,0076409,0.051,50ml,Cien,2.39,,,47.8,4056489323105,Kozmetika,"2,59"
Èetkica za zube Performance SK5,0077569,0.016,1komad,Dentalux,0.89,,,0.89,4056489845607,Kozmetika,"0,89"
Tiramisu SK4,0077850,0.16,2x80g,Italiamo,1.59,,,9.94,4056489627128,Hrana,"1,59"
XXL kobasica od mesa peradi,0078330,0.45,450g,Dulano,1.99,,,4.42,4056489090762,Hrana,"1,99"
Hamburger/Hot Dog peciva SK14,0079870,0.278,"250g,300g",Tastino,1.19,,,4.76,20151690,Hrana,"1,19"
Hamburger/Hot Dog peciva SK14,0079870,0.278,"250g,300g",Tastino,1.19,,,3.97,20151690,Hrana,"1,19"
Hamburger/Hot Dog peciva SK14,0079870,0.278,"250g,300g",Tastino,1.19,,,4.76,4056489846987,Hrana,"1,19"
Mini banana,0080025,0.25,250g,,0.89,,,3.56,7861081102228,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Naranèa crvena 1,5kg",0080033,1.5,"1,5kg",,2.49,,,1.66,20241711,Hrana,"2,49"
Kumkvat 100g,0080061,0.1,100g,,0.99,,,9.9,4335619258990,Hrana,"1,29"
Mandarina 750g,0080117,0.75,750g,,2.29,,,3.05,20083274,Hrana,"2,29"
Naranèa za cijeðenje,0080157,2,2kg,,2.98,,,1.49,20241735,Hrana,"2,98"
Naranèa za cijeðenje,0080157,2,2kg,,2.98,,,1.49,20649982,Hrana,"2,98"
Mrkva 1kg,0082761,1,1kg,,1.19,,,1.19,20165079,Hrana,"1,29"
Peršin korijen 250g,0082799,0.25,250g,,1.29,,,5.16,3858893060062,Hrana,"1,24"
Ljutika 250g,0082831,0.25,250g,,1.19,,,4.76,20253479,Hrana,"0,89"
Cvjetaèa i Brokula mix,0082887,0.4,400g,,2.99,,,7.48,20283988,Hrana,"2,79"
Kelj pupèar,0082931,0.5,500g,,0.99,,,1.98,20242084,Hrana,"1,49"
Šampinjoni 500g,0083018,0.5,500g,,,1.29,1.89,2.58,20242176,Hrana,"1,89"
Šampinjoni 500g,0083018,0.5,500g,,,1.29,1.89,2.58,3859889267007,Hrana,"1,89"
Krumpir crveni 3kg,0083306,3,3kg,,2.79,,,0.93,20344382,Hrana,"2,79"
Luk crveni 1kg,0083331,1,1kg,,0.94,,,0.94,20242299,Hrana,"0,83"
Luk crveni 5kg,0083335,5,5kg,,,1.45,1.75,0.29,3859888419193,Hrana,"2,75"
Bio zaèinsko bilje,0084647,0,1komad,,1.69,,,1.69,20490409,Hrana,"1,49"
Dekoracijske zvijezdice za kolaè ,0085102,0.16,160g,Belbake,2.09,,,13.06,20420529,Hrana,"2,09"
"Voæni jogurt 2,8% m.m., SK1",0086882,0.15,150g,Pilos,0.37,,,2.47,20156206,Hrana,"0,37"
Sir SK3,0087009,0.175,175g,Eridanous,2.29,,,13.09,20668631,Hrana,"2,04"
Punj. èok. štap. Latte Macchiato,0087237,0.2,200g,Mister Choc,2.99,,,14.95,20418762,Hrana,"2,99"
Sirup SK26,0087297,0.903,"0,7l",Solevita,1.99,,,2.84,4304493263024,Piæe,"1,99"
Voæne karamele XXL,0088165,1.2,1200g,Sweet Corner,5.99,,,4.99,20447632,Hrana,"5,99"
