NAZIV,SIFRA,MARKA,NETO_KOLICINA,JED_MJERE,MPC,CIJENA_PO_MJERI,POSEBNA_PRODAJA,NAJNIZA_30_DANA,SIDRENA_02_05,BARKOD,KATEGORIJA
"600ML CHANTECLAIR ODMAŠČ.SODA",258565,"CHANTECLAIR",".6 L","L",3.1,5.17,,3.1,3.1,8015194522964,"sredstva za čišćenje"
"1L AJAX SRED.ČIŠ. WATER LILY",262422,"AJAX","1 L","L",3.76,3.75,,3.76,3.56,8718951622777,"sredstva za čišćenje"
"1L AJAX SRED.ČIŠ. SODA&LEMON",262423,"AJAX","1 L","L",3.76,3.75,,3.76,3.56,8718951278905,"sredstva za čišćenje"
"1L AJAX STRONG&SAFE",262971,"AJAX","1 L","L",3.76,3.75,,3.76,3.43,8718951567917,"sredstva za čišćenje"
"1L ARO SOLNA KISELINA 19%",263140,"ARO","1 L","L",1.36,1.36,,1.36,1.36,3856024707503,"sredstva za čišćenje"
"750ML ECO LINE STAKLO",265580,"",".75 L","L",1.24,1.65,,1.24,1.24,3858893240327,"sredstva za čišćenje"
"1L ECO LINE ZA PODOVE",265582,"","1 L","L",.99,.99,,.99,.99,3858893240310,"sredstva za čišćenje"
"750ML ECO LINE UNIVERZAL",265583,"",".75 L","L",1.18,1.57,,1.18,1.18,3858893240303,"sredstva za čišćenje"
"750ML ARO SREDSTVO ZA DRVO",268530,"ARO",".75 L","L",2.24,2.99,,2.24,2.24,3856024710459,"sredstva za čišćenje"
"1L CEKINA VARIKINA LAV.",270954,"CEKINA","1 L","L",1.99,1.84,,1.99,1.99,3850111505744,"sredstva za čišćenje"
"1L CEKINA VARIKINA EUK.",270955,"CEKINA","1 L","L",2.24,2.07,,2.24,2.24,3850111505737,"sredstva za čišćenje"
"1L AJAX PEACH",272392,"AJAX","1 L","L",3.76,3.76,,3.76,,8718951710276,"sredstva za čišćenje"
"1L AJAX ULTRA LEMON",272393,"AJAX","1 L","L",3.76,3.76,,3.76,,8718951730045,"sredstva za čišćenje"
"1L AJAX ULTRA FRESH",272394,"AJAX","1 L","L",3.76,3.76,,3.76,,8718951692015,"sredstva za čišćenje"
"300ML PRONTO CLASSIC 5U1",17075,"PRONTO",".3 L","L",5.44,18.13,,5.44,5.44,5000204670967,"sredstva za čišćenje"
"750ML PRONTO LP TEK NAMJEŠTAJ",17077,"PRONTO",".75 L","L",4.4,5.87,,4.4,4.4,5000204604542,"sredstva za čišćenje"
"750ML PRONTO LP TEK NAMJEŠTAJ",67194,"PRONTO","9 L","L",52.8,5.87,,52.8,52.8,5000204604559,"sredstva za čišćenje"
"500ML PRONTO TRIGGER VIŠENAMJE",101760,"PRONTO",".5 L","L",4.78,8.69,,4.78,4.78,5000204218398,"sredstva za čišćenje"
"500ML PRONTO TRIGGER ALOE V.",108728,"PRONTO",".5 L","L",4.65,9.3,,4.65,5.21,5000204238242,"sredstva za čišćenje"
"40/1 ARO VL.MARAMICE ZA NAMJEŠ",136463,"ARO","197 G","KG",1.23,6.24,,1.23,1.23,4337182142188,"sredstva za čišćenje"
"40/1 ARO MARAM NAMJEŠTAJ*3+1",162742,"ARO","197 G","KG",4.19,21.27,,4.19,4.19,4337182143369,"sredstva za čišćenje"
"1000ML AJAX ALMOND OIL ZA PARK",181844,"AJAX","1 L","L",3.76,3.76,,3.76,3.55,8714789866444,"sredstva za čišćenje"
"650ML SUPER JON NAMJEŠTAJ",211848,"SUPER JON",".65 L","L",2.99,4.6,,2.99,2.98,3850111503450,"sredstva za čišćenje"
"600ML ARF NAMJEŠTAJ PROF.",258721,"ARF PROFESSIONAL",".6 L","L",3.33,5.55,,3.33,3.33,3850105181282,"sredstva za čišćenje"
"4/1 SWIFFER KOMPLET +REF.SUHI",252269,"SWIFFER","39 G","KG",6.31,161.79,,6.31,5.76,8006540307960,"sredstva za čišćenje"
"10/1 SWIFFER REFIL MOKRI",252274,"SWIFFER","619 G","KG",5.69,9.19,,5.69,5.18,8006540308257,"sredstva za čišćenje"
"20/1 SWIFFER REFIL MOKRI",252275,"SWIFFER","1237 G","KG",10.09,8.16,,10.09,9.64,8006540308288,"sredstva za čišćenje"
"1/1 SWIFFER  MOKAR I SUHI POD",264005,"SWIFFER","368 G","KG",17.24,46.85,,17.24,17.24,8006540317242,"sredstva za čišćenje"
"1/1 SWIFFER ČISTAČ PRAŠ. SUHO",264006,"SWIFFER","15 G","KG",8.74,582.67,,8.74,8.74,8001090886675,"sredstva za čišćenje"
"10/1 VILEDA SPUŽ. KRPA 8+2 GRA",158634,"VILEDA","290 G","KG",8.63,29.76,,8.63,8.63,3838447000195,"sredstva za čišćenje"
"3X10/1 ARO KRPA VISKOZNA 37X51",226140,"ARO","210 G","KG",3.8,18.1,,3.8,3.8,4333465814575,"sredstva za čišćenje"
"5/1 ARO KRPA ZA POD FLIS (50X6",232775,"ARO","270 G","KG",3.18,11.78,,3.18,3.18,4337182030942,"sredstva za čišćenje"
"5/1 ARO KRPA ZA POD GRUBA (50X",232784,"ARO","650 G","KG",4.74,7.29,,4.74,4.74,4337182152415,"sredstva za čišćenje"
"10/1 ARO KRPA FLIS UNIVERZA.38",235279,"ARO","151 G","KG",2.14,14.17,,2.14,2,4337182030829,"sredstva za čišćenje"
"3/1 ARO SPUŽVA ZA SUĐE OBLIK.",236916,"ARO","45 G","KG",1.08,24,,1.08,1.08,3858891668055,"sredstva za čišćenje"
"3/1 ARO SPUŽVASTA KRPA ZA SUĐE",237848,"ARO","68 G","KG",1.25,18.38,,1.25,1.2,3858891668031,"sredstva za čišćenje"
"20/1 ARO KRPA ZA POD",237864,"ARO","1500 G","KG",9.08,6.05,,9.08,9.08,3858891668062,"sredstva za čišćenje"
"10/1 ARO SPUŽVASTA KRPA ZA SUĐ",237878,"ARO","235 G","KG",1.96,8.34,,2.75,2.75,3858891668048,"sredstva za čišćenje"
"10/1 ARO SPUŽVASTA KRPA ZA SUĐ",260150,"ARO","2350 G","KG",19.63,8.35,,27.5,27.5,3856024706766,"sredstva za čišćenje"
