ID naselja,Naziv naselja,Eksterni ID naselja,ID općine,Naziv općine,Eksterni ID općine,ID županije,Naziv županije,Eksterni ID županije
46230,Otrić,46230,1317,Gračac,1317,13,Zadarska,13
46248,Otrić-Seoci,46248,3433,Pojezerje,3433,19,Dubrovačko-neretvanska,19
46256,Otrovanec,46256,3328,Pitomača,3328,10,Virovitičko-podravska,10
46264,Otruševec,46264,3808,Samobor,3808,1,Zagrebačka,1
46272,Ovčara,46272,655,Čepin,655,14,Osječko-baranjska,14
46299,Ovčara,46299,2305,Levanjska Varoš,2305,14,Osječko-baranjska,14
46329,Ovčare,46329,2216,Kutjevo,2216,11,Požeško-slavonska,11
46337,Ovrlje,46337,3140,Otok,3140,17,Splitsko-dalmatinska,17
46345,Ozalj,46345,3158,Ozalj,3158,4,Karlovačka,4
46353,Ozdakovci,46353,4758,Velika,4758,11,Požeško-slavonska,11
46361,Ožegovci,46361,3182,Pakrac,3182,11,Požeško-slavonska,11
46370,Pačetin,46370,4642,Trpinja,4642,16,Vukovarsko-srijemska,16
46388,Pađene,46388,1139,Ervenik,1139,15,Šibensko-kninska,15
46396,Pag,46396,3166,Pag,3166,13,Zadarska,13
46400,Pagubice,46400,477,Cerovlje,477,18,Istarska,18
46418,Pajari,46418,4316,Sveti Lovreč,4316,18,Istarska,18
46426,Pajkovići,46426,4359,Svetvinčenat,4359,18,Istarska,18
46434,Paka,46434,582,Čaglin,582,11,Požeško-slavonska,11
46442,Paka,46442,2895,Novi Marof,2895,5,Varaždinska,5
46469,Paklenica,46469,2933,Novska,2933,3,Sisačko-moslavačka,3
46477,Pakoštane,46477,3174,Pakoštane,3174,13,Zadarska,13
46485,Pakovo Selo,46485,957,Drniš,957,15,Šibensko-kninska,15
46493,Pakrac,46493,3182,Pakrac,3182,11,Požeško-slavonska,11
46507,Pakrani,46507,3905,Sirač,3905,7,Bjelovarsko-bilogorska,7
46515,Palača,46515,6149,Šodolovci,6149,14,Osječko-baranjska,14
46523,Paladini,46523,434,Buzet,434,18,Istarska,18
