Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
CIPSPREMIIUM OLIVA Y SAL HIMALAYA 150 G EL VALLE;966897;EL VALLE;0,150 KG;KOM;2,25;15,00;;;2,25;8437001210688;HRANA;
BAGUETTE 340 G LA BOULANGERE;966898;LA BOULANGERE;0,340 KG;KOM;2,79;8,21;;;2,79;3760049795646;HRANA;
TOAST KRUH INTEGRALNI 550 G LA BOULANGERE;966899;LA BOULANGERE;0,550 KG;KOM;2,19;3,98;;;2,19;3760049796858;HRANA;
LEDENI CAJ SUMSKO VOCE BRUSNICA 1,5 L PET;967016;JANA LEDENI CAJ;1,5 L;KOM;1,69;1,13;;;1,69;3858884601717;PICE;
NAMAZ NUTELLA GO T1X24 52 G;967180;FERRERO;0,071 KG;KOM;1,69;23,80;;;1,69;80050100;HRANA;
KVIKI GRIC SLANI 100 G PODRAVKA;967236;KVIKI;0,100 KG;KOM;1,39;13,90;;;1,39;3850104225277;HRANA;
VINO POSIP KVALITETNI 0,75 L BLATO;967519;BLATO;0,750 L;KOM;8,49;11,32;;;8,49;3859888154377;PICE;
KEKS CUOR DI MELA 300 G MULINO BIANCO;967725;MULINO BIANCO KEKSI;0,300 KG;KOM;3,69;12,30;;;3,69;8076809531825;HRANA;
BOZICNA PSENICA 100 G PLODINE;969000;PLODINE;;KOM;,39;;;;,39;3859893026201;HRANA;
PRINGLES ORIGINAL 165 G;969284;PRINGLES;0,165 KG;KOM;;10,85;1,79;1,79;3,49;5053990101573;HRANA;
PRINGLES SOUR CREAM ONION 165 G;969285;PRINGLES;0,165 KG;KOM;;10,85;1,79;1,79;3,49;5053990101597;HRANA;
PRINGLES PAPRIKA 165 G;969286;PRINGLES;0,165 KG;KOM;;10,85;1,79;1,79;3,49;5053990161669;HRANA;
PRINGLES CHEESE ONION 165 G;969287;PRINGLES;0,165 KG;KOM;;10,85;1,79;1,79;3,49;5053990101535;HRANA;
PRINGLES HOT SPICY 165 G;969288;PRINGLES;0,165 KG;KOM;;10,85;1,79;1,79;3,49;5053990101542;HRANA;
PRINGLES BACON 165 G;969290;PRINGLES;0,165 KG;KOM;;10,85;1,79;1,79;3,49;5053990161690;HRANA;
BADEM JEZGRA 500 G VEDRINI;969486;VEDRINI SUHO PAKIRANO;0,500 KG;KOM;5,99;11,98;;;6,75;3859890630982;HRANA;
KEKS PLAZMA 300 G BAMBI;969714;BAMBI;0,300 KG;KOM;2,99;9,97;;;2,99;8600043000023;HRANA;
LIBRESSE NATURAL CARE 20 KOM;969929;LIBRESSE;20 KOM;KOM;;0,10;1,99;1,99;3,15;7322541237275;TOALETNE POTREPSTINE;
KREKERI ZA PAPIGE MED 85 G;969938;HOBBY VITAKRAFT;0,085 KG;KOM;2,12;24,94;;;2,12;4008239212382;HRANA;
BOZICNA ZVIJEZDA;970198;;;KOM;3,33;;;;3,99;3858891490113;HRANA;
COKOLADA CIJELI LJESNJAK 100 G DORINA;970988;KRAS 2X MJ NARUDZBE;0,100 KG;KOM;2,29;22,90;;;2,29;3850102122073;HRANA;
DVOPEK CLASSIC 225 G KLARA;971378;ZP KLARA KONZERVIRANO;0,225 KG;KOM;2,75;12,22;;;2,61;3858881327528;HRANA;
SIR  MIJESANI  SEMICURADO 3 KG  EL PASTOR;971501;QUESOS EL PASTOR;1 KG;KG;15,99;15,99;;;15,99;9841337602902;HRANA;
SIR PERLE 125 G EL PASTOR;971502;QUESOS EL PASTOR;0,125 KG;KOM;;15,92;1,99;2,49;2,19;8413376042796;HRANA;
SLADOLED BOUNTY IC X-TRA PRUTIC 51,6 G;971524;MARS SLADOLED;0,052 KG;KOM;1,79;34,42;;;1,79;5000159483049;HRANA;
SLADOLED MARS MULTIPACK 6X40 G;971527;MARS SLADOLED;0,240 KG;KOM;5,49;22,88;;;5,49;5000159541459;HRANA;
SLADOLED SNICKERS PRUTICI MULTIPACK 6X45,6 G;971528;MARS SLADOLED;0,274 KG;KOM;4,99;18,21;;;5,49;5000159541336;HRANA;
RIZINI KREKERI S SEZAMOM 100 G NUTREE;971536;NUTREE;0,100 KG;KOM;,99;9,90;;;,99;3856025837254;HRANA;
RIZINI KREKERI NATURAL 100 G NUTREE;971537;NUTREE;0,100 KG;KOM;,99;9,90;;;,99;3856025837216;HRANA;
RIZINI KREKERI POPCORN 100 G NUTREE;971539;NUTREE;0,100 KG;KOM;,99;9,90;;;,99;3856025837230;HRANA;
COK. RIZINA PLOCICA S NARANCOM 5X18 G NUTREE;971540;NUTREE;0,090 KG;KOM;1,69;18,78;;;1,69;3856025829877;HRANA;
COK. RIZINA PLOCICA S MLIJEKOM 5X18 G NUTREE;971541;NUTREE;0,090 KG;KOM;1,69;18,78;;;1,69;3856025829891;HRANA;
COK. RIZINA PLOCICA S KAKAOM 70% 5X18 G NUTREE;971543;NUTREE;0,090 KG;KOM;1,69;18,78;;;1,69;3856025829853;HRANA;
FINO VRECA ZA SMECE 10 L  50 KOM;971561;FINO;;KOM;;;1,09;1,49;1,49;5201314413943;PROIZVODI ZA KUCANSTVO;
FINO SPUZVICA PROFILNA PREMIUM.2+1 KOM;971563;FINO;3 KOM;KOM;;0,40;1,19;1,79;1,79;8606013476607;PROIZVODI ZA KUCANSTVO;
FINO SPUZVICA KUHI.5+1 KOM;971565;FINO;6 KOM;KOM;;0,20;1,19;1,89;1,89;5900536279121;PROIZVODI ZA KUCANSTVO;
FIN.KRPA ZA DOMAC.3 KOM;971567;FINO;3 KOM;KOM;1,72;0,57;;;1,72;5201314913023;PROIZVODI ZA KUCANSTVO;
FINO ZICA ZA METALNE POVRSINE 2 KOM;971575;FINO;;KOM;1,59;;;;1,59;5201314911173;PROIZVODI ZA KUCANSTVO;
PIVO OLD PRAGUE BOHEMIAN SVJETLO 4,8% 0,5 L LIMENKA;971593;OLD PRAGUE BOHEMIAN;0,500 L;KOM;1,22;2,44;;;1,22;8594044191289;PICE;
PIVO OLD PRAGUE BOHEMIAN DARK 4,4% 0,5 L LIMENKA;971594;OLD PRAGUE BOHEMIAN;0,500 L;KOM;1,22;2,44;;;1,22;8594044191296;PICE;
CAJ KAMILICA 22 G TEEKANNE;971622;TEEKANNE;0,022 KG;KOM;1,79;81,36;;;1,59;5901086400119;HRANA;
CAJ DETOX   SLIM PASSIONFRUIT 32 G TEEKANNE;971628;TEEKANNE;0,032 KG;KOM;2,49;77,81;;;2,49;5901086067848;HRANA;
JOGURT PROTEIN VOCNI 200 G ZOTT;971640;ZOTT;0,200 KG;KOM;1,29;6,45;;;1,29;4014500519159;HRANA;
ACTIVA MIX 163 G DANONE;971641;DANONE;0,163 KG;KOM;1,48;9,08;;;1,48;5941209025638;HRANA;
LIKER AMARO 0,5 L ROSSI;971697;ROSSI;0,500 L;KOM;21,02;42,04;;;17,95;3859891585571;PICE;
FINO SPUZVASTA KRPA 3+1 KOM;971730;FINO;;KOM;;;2,19;3,05;3,05;8606013475440;PROIZVODI ZA KUCANSTVO;
MUFFIN MINI CLASSIC VR.200 G MANDUL;971754;MANDUL;0,200 KG;KOM;1,86;9,30;;;1,86;8423915004345;HRANA;
MUFFIN MINI KOMADICI COKOLADE VR.200 G MANDUL;971755;MANDUL;0,200 KG;KOM;1,86;9,30;;;1,86;8423915010070;HRANA;
